[DEBUG] Regularised loss: 0.059292323887348175, Regularisation weight: 0.10000000149011612, MSE loss: 0.5929232239723206, Quality loss: 3.699810266494751
[DEBUG] Regularised loss: 0.0814225897192955, Regularisation weight: 0.10000000149011612, MSE loss: 0.8142259120941162, Quality loss: 3.7538211345672607
[DEBUG] Regularised loss: 0.11641440540552139, Regularisation weight: 0.10000000149011612, MSE loss: 1.1641440391540527, Quality loss: 3.5705533027648926
[DEBUG] Regularised loss: 0.11177672445774078, Regularisation weight: 0.10000000149011612, MSE loss: 1.1177672147750854, Quality loss: 3.3633084297180176
[DEBUG] Regularised loss: 0.08219460397958755, Regularisation weight: 0.10000000149011612, MSE loss: 0.8219460248947144, Quality loss: 3.5718424320220947
[DEBUG] Regularised loss: 0.044436462223529816, Regularisation weight: 0.10000000149011612, MSE loss: 0.44436460733413696, Quality loss: 1.0773497819900513
[DEBUG] Regularised loss: 0.056945960968732834, Regularisation weight: 0.10000000149011612, MSE loss: 0.5694596171379089, Quality loss: 1.8894221782684326
[DEBUG] Regularised loss: 0.0654091089963913, Regularisation weight: 0.10000000149011612, MSE loss: 0.6540910601615906, Quality loss: 2.1981258392333984
[DEBUG] Regularised loss: 0.06440886110067368, Regularisation weight: 0.10000000149011612, MSE loss: 0.644088625907898, Quality loss: 2.564791679382324
[DEBUG] Regularised loss: 0.051151394844055176, Regularisation weight: 0.10000000149011612, MSE loss: 0.5115139484405518, Quality loss: 2.7681822776794434
[DEBUG] Regularised loss: 0.036000583320856094, Regularisation weight: 0.10000000149011612, MSE loss: 0.36000582575798035, Quality loss: 1.0703749656677246
[DEBUG] Regularised loss: 0.04064609110355377, Regularisation weight: 0.10000000149011612, MSE loss: 0.4064609110355377, Quality loss: 1.5494489669799805
[DEBUG] Regularised loss: 0.05085905268788338, Regularisation weight: 0.10000000149011612, MSE loss: 0.5085905194282532, Quality loss: 1.6331933736801147
[DEBUG] Regularised loss: 0.056832920759916306, Regularisation weight: 0.10000000149011612, MSE loss: 0.5683292150497437, Quality loss: 2.1067867279052734
[DEBUG] Regularised loss: 0.04710111394524574, Regularisation weight: 0.10000000149011612, MSE loss: 0.47101113200187683, Quality loss: 1.8802093267440796
[DEBUG] Regularised loss: 0.03450706601142883, Regularisation weight: 0.10000000149011612, MSE loss: 0.34507066011428833, Quality loss: 0.736920177936554
[DEBUG] Regularised loss: 0.043980229645967484, Regularisation weight: 0.10000000149011612, MSE loss: 0.43980228900909424, Quality loss: 1.0886636972427368
[DEBUG] Regularised loss: 0.05835403874516487, Regularisation weight: 0.10000000149011612, MSE loss: 0.5835403800010681, Quality loss: 1.8899610042572021
[DEBUG] Regularised loss: 0.05698629841208458, Regularisation weight: 0.10000000149011612, MSE loss: 0.569862961769104, Quality loss: 1.6601170301437378
[DEBUG] Regularised loss: 0.049652110785245895, Regularisation weight: 0.10000000149011612, MSE loss: 0.49652108550071716, Quality loss: 1.9098803997039795
[DEBUG] Regularised loss: 0.033005490899086, Regularisation weight: 0.10000000149011612, MSE loss: 0.33005490899086, Quality loss: 0.5540335178375244
[DEBUG] Regularised loss: 0.038666024804115295, Regularisation weight: 0.10000000149011612, MSE loss: 0.38666024804115295, Quality loss: 0.8339782357215881
[DEBUG] Regularised loss: 0.0514896996319294, Regularisation weight: 0.10000000149011612, MSE loss: 0.5148969888687134, Quality loss: 1.367202639579773
[DEBUG] Regularised loss: 0.05130228400230408, Regularisation weight: 0.10000000149011612, MSE loss: 0.5130228400230408, Quality loss: 1.426645040512085
[DEBUG] Regularised loss: 0.044673461467027664, Regularisation weight: 0.10000000149011612, MSE loss: 0.44673460721969604, Quality loss: 1.7212185859680176
[DEBUG] Regularised loss: 0.03184128180146217, Regularisation weight: 0.10000000149011612, MSE loss: 0.31841281056404114, Quality loss: 0.49167370796203613
[DEBUG] Regularised loss: 0.03716273605823517, Regularisation weight: 0.10000000149011612, MSE loss: 0.3716273605823517, Quality loss: 0.805330216884613
[DEBUG] Regularised loss: 0.04725458472967148, Regularisation weight: 0.10000000149011612, MSE loss: 0.4725458323955536, Quality loss: 1.1881988048553467
[DEBUG] Regularised loss: 0.05356869846582413, Regularisation weight: 0.10000000149011612, MSE loss: 0.5356869697570801, Quality loss: 1.2222603559494019
