[DEBUG] Regularised loss: 0.11069218069314957, Regularisation weight: 0.009999999776482582, MSE loss: 11.069218635559082, Quality loss: 3.535205841064453
[DEBUG] Regularised loss: 100.9681625366211, Regularisation weight: 0.009999999776482582, MSE loss: 10096.81640625, Quality loss: 197.08883666992188
[DEBUG] Regularised loss: 632431488.0, Regularisation weight: 0.009999999776482582, MSE loss: 63243153408.0, Quality loss: 1273234.0
[DEBUG] Regularised loss: 24138387456.0, Regularisation weight: 0.009999999776482582, MSE loss: 2413838729216.0, Quality loss: 4690667.5
[DEBUG] Regularised loss: 784904576.0, Regularisation weight: 0.009999999776482582, MSE loss: 78490460160.0, Quality loss: 2500196.0
[DEBUG] Regularised loss: 0.03256038948893547, Regularisation weight: 0.009999999776482582, MSE loss: 3.2560389041900635, Quality loss: 3.5472302436828613
[DEBUG] Regularised loss: 6.681946754455566, Regularisation weight: 0.009999999776482582, MSE loss: 668.1947021484375, Quality loss: 146.32460021972656
[DEBUG] Regularised loss: 1062863.25, Regularisation weight: 0.009999999776482582, MSE loss: 106286328.0, Quality loss: 7886.6728515625
[DEBUG] Regularised loss: 60854704.0, Regularisation weight: 0.009999999776482582, MSE loss: 6085470720.0, Quality loss: 10133.955078125
[DEBUG] Regularised loss: 15252533.0, Regularisation weight: 0.009999999776482582, MSE loss: 1525253376.0, Quality loss: 1338608.125
[DEBUG] Regularised loss: 0.018756581470370293, Regularisation weight: 0.009999999776482582, MSE loss: 1.8756581544876099, Quality loss: 4.3297905921936035
[DEBUG] Regularised loss: 1.6160749197006226, Regularisation weight: 0.009999999776482582, MSE loss: 161.6074981689453, Quality loss: 8.035659790039062
[DEBUG] Regularised loss: 134265.640625, Regularisation weight: 0.009999999776482582, MSE loss: 13426564.0, Quality loss: 289.70391845703125
[DEBUG] Regularised loss: 5406832.5, Regularisation weight: 0.009999999776482582, MSE loss: 540683264.0, Quality loss: 4821.5986328125
[DEBUG] Regularised loss: 2135260.5, Regularisation weight: 0.009999999776482582, MSE loss: 213526048.0, Quality loss: 39715.98046875
[DEBUG] Regularised loss: 0.007759280037134886, Regularisation weight: 0.009999999776482582, MSE loss: 0.7759280204772949, Quality loss: 1.6383922100067139
[DEBUG] Regularised loss: 0.1296449452638626, Regularisation weight: 0.009999999776482582, MSE loss: 12.964494705200195, Quality loss: 4.689250469207764
[DEBUG] Regularised loss: 5389.904296875, Regularisation weight: 0.009999999776482582, MSE loss: 538990.4375, Quality loss: 667.6270141601562
[DEBUG] Regularised loss: 162366.59375, Regularisation weight: 0.009999999776482582, MSE loss: 16236659.0, Quality loss: 239.83860778808594
[DEBUG] Regularised loss: 88221.3671875, Regularisation weight: 0.009999999776482582, MSE loss: 8822137.0, Quality loss: 4369.173828125
[DEBUG] Regularised loss: 0.007224299944937229, Regularisation weight: 0.009999999776482582, MSE loss: 0.7224299907684326, Quality loss: 1.8007218837738037
[DEBUG] Regularised loss: 0.049660127609968185, Regularisation weight: 0.009999999776482582, MSE loss: 4.966012954711914, Quality loss: 2.8345155715942383
[DEBUG] Regularised loss: 92.26419067382812, Regularisation weight: 0.009999999776482582, MSE loss: 9226.4189453125, Quality loss: 29.833948135375977
[DEBUG] Regularised loss: 2822.600341796875, Regularisation weight: 0.009999999776482582, MSE loss: 282260.03125, Quality loss: 90.35485076904297
[DEBUG] Regularised loss: 4819.259765625, Regularisation weight: 0.009999999776482582, MSE loss: 481925.96875, Quality loss: 649.3680419921875
[DEBUG] Regularised loss: 0.002109585329890251, Regularisation weight: 0.009999999776482582, MSE loss: 0.2109585404396057, Quality loss: 1.3767648935317993
[DEBUG] Regularised loss: 0.005210910923779011, Regularisation weight: 0.009999999776482582, MSE loss: 0.521091103553772, Quality loss: 2.086197853088379
[DEBUG] Regularised loss: 5.654552936553955, Regularisation weight: 0.009999999776482582, MSE loss: 565.455322265625, Quality loss: 5.265439510345459
[DEBUG] Regularised loss: 299.23492431640625, Regularisation weight: 0.009999999776482582, MSE loss: 29923.494140625, Quality loss: 8.254810333251953
[DEBUG] Regularised loss: 311.87042236328125, Regularisation weight: 0.009999999776482582, MSE loss: 31187.04296875, Quality loss: 108.09674072265625
[DEBUG] Regularised loss: 0.0018777092918753624, Regularisation weight: 0.009999999776482582, MSE loss: 0.18777093291282654, Quality loss: 1.124309778213501
[DEBUG] Regularised loss: 0.005890912842005491, Regularisation weight: 0.009999999776482582, MSE loss: 0.5890913009643555, Quality loss: 1.6673988103866577
[DEBUG] Regularised loss: 0.9928175806999207, Regularisation weight: 0.009999999776482582, MSE loss: 99.2817611694336, Quality loss: 5.293036460876465
[DEBUG] Regularised loss: 42.43292999267578, Regularisation weight: 0.009999999776482582, MSE loss: 4243.29296875, Quality loss: 12.061857223510742
[DEBUG] Regularised loss: 32.965087890625, Regularisation weight: 0.009999999776482582, MSE loss: 3296.509033203125, Quality loss: 44.10776138305664
[DEBUG] Regularised loss: 0.002284618327394128, Regularisation weight: 0.009999999776482582, MSE loss: 0.2284618318080902, Quality loss: 1.1055388450622559
[DEBUG] Regularised loss: 0.008390536531805992, Regularisation weight: 0.009999999776482582, MSE loss: 0.8390536308288574, Quality loss: 1.5566673278808594
[DEBUG] Regularised loss: 0.04645379260182381, Regularisation weight: 0.009999999776482582, MSE loss: 4.645379543304443, Quality loss: 2.471205234527588
[DEBUG] Regularised loss: 0.44206228852272034, Regularisation weight: 0.009999999776482582, MSE loss: 44.20623016357422, Quality loss: 3.090614080429077
[DEBUG] Regularised loss: 647.1637573242188, Regularisation weight: 0.009999999776482582, MSE loss: 64716.375, Quality loss: 1112.427734375
[DEBUG] Regularised loss: 0.0012745114509016275, Regularisation weight: 0.009999999776482582, MSE loss: 0.12745115160942078, Quality loss: 1.0930497646331787
[DEBUG] Regularised loss: 0.003470551921054721, Regularisation weight: 0.009999999776482582, MSE loss: 0.34705519676208496, Quality loss: 1.6081007719039917
[DEBUG] Regularised loss: 0.17714576423168182, Regularisation weight: 0.009999999776482582, MSE loss: 17.714576721191406, Quality loss: 2.291012763977051
[DEBUG] Regularised loss: 2.2435226440429688, Regularisation weight: 0.009999999776482582, MSE loss: 224.35226440429688, Quality loss: 2.774091958999634
[DEBUG] Regularised loss: 171.060302734375, Regularisation weight: 0.009999999776482582, MSE loss: 17106.03125, Quality loss: 7.653568744659424
