[DEBUG] Regularised loss: 110.69218444824219, Regularisation weight: 10.0, MSE loss: 11.069218635559082, Quality loss: 3.535205841064453
[DEBUG] Regularised loss: 13431.623046875, Regularisation weight: 10.0, MSE loss: 1343.162353515625, Quality loss: 213.24644470214844
[DEBUG] Regularised loss: 2688576512.0, Regularisation weight: 10.0, MSE loss: 268857664.0, Quality loss: 4060.03955078125
[DEBUG] Regularised loss: 144671555584.0, Regularisation weight: 10.0, MSE loss: 14467154944.0, Quality loss: 5385.24462890625
[DEBUG] Regularised loss: 83344277504.0, Regularisation weight: 10.0, MSE loss: 8334428160.0, Quality loss: 221402.875
[DEBUG] Regularised loss: 8.986817359924316, Regularisation weight: 10.0, MSE loss: 0.8986817598342896, Quality loss: 2.78568434715271
[DEBUG] Regularised loss: 632.4251708984375, Regularisation weight: 10.0, MSE loss: 63.242515563964844, Quality loss: 7.272846698760986
[DEBUG] Regularised loss: 34381136.0, Regularisation weight: 10.0, MSE loss: 3438113.5, Quality loss: 683.0933837890625
[DEBUG] Regularised loss: 1810717696.0, Regularisation weight: 10.0, MSE loss: 181071776.0, Quality loss: 2633.279296875
[DEBUG] Regularised loss: 442061888.0, Regularisation weight: 10.0, MSE loss: 44206188.0, Quality loss: 508202.0
[DEBUG] Regularised loss: 2.4529333114624023, Regularisation weight: 10.0, MSE loss: 0.24529331922531128, Quality loss: 1.7948756217956543
[DEBUG] Regularised loss: 14.941254615783691, Regularisation weight: 10.0, MSE loss: 1.494125485420227, Quality loss: 2.8884410858154297
[DEBUG] Regularised loss: 59770.80078125, Regularisation weight: 10.0, MSE loss: 5977.080078125, Quality loss: 5.450958251953125
[DEBUG] Regularised loss: 1667161.875, Regularisation weight: 10.0, MSE loss: 166716.1875, Quality loss: 29.083740234375
[DEBUG] Regularised loss: 15726009.0, Regularisation weight: 10.0, MSE loss: 1572600.875, Quality loss: 108.71310424804688
[DEBUG] Regularised loss: 0.5383356213569641, Regularisation weight: 10.0, MSE loss: 0.05383356288075447, Quality loss: 1.6988019943237305
[DEBUG] Regularised loss: 0.6717962026596069, Regularisation weight: 10.0, MSE loss: 0.0671796202659607, Quality loss: 2.357950210571289
[DEBUG] Regularised loss: 27.823463439941406, Regularisation weight: 10.0, MSE loss: 2.782346248626709, Quality loss: 3.3032569885253906
[DEBUG] Regularised loss: 292.6658935546875, Regularisation weight: 10.0, MSE loss: 29.266590118408203, Quality loss: 3.0622243881225586
[DEBUG] Regularised loss: 2304.955078125, Regularisation weight: 10.0, MSE loss: 230.49551391601562, Quality loss: 5.709387302398682
[DEBUG] Regularised loss: 0.08436395972967148, Regularisation weight: 10.0, MSE loss: 0.008436395786702633, Quality loss: 1.4328813552856445
[DEBUG] Regularised loss: 0.10046103596687317, Regularisation weight: 10.0, MSE loss: 0.010046103969216347, Quality loss: 1.8345928192138672
[DEBUG] Regularised loss: 0.10435500741004944, Regularisation weight: 10.0, MSE loss: 0.010435501113533974, Quality loss: 2.581362724304199
[DEBUG] Regularised loss: 0.0630611777305603, Regularisation weight: 10.0, MSE loss: 0.006306117400527, Quality loss: 2.701978921890259
[DEBUG] Regularised loss: 0.019180752336978912, Regularisation weight: 10.0, MSE loss: 0.0019180752569809556, Quality loss: 2.85058856010437
[DEBUG] Regularised loss: 0.01599281094968319, Regularisation weight: 10.0, MSE loss: 0.001599281094968319, Quality loss: 1.3761253356933594
[DEBUG] Regularised loss: 0.047570809721946716, Regularisation weight: 10.0, MSE loss: 0.0047570811584591866, Quality loss: 1.9231834411621094
[DEBUG] Regularised loss: 0.06086105480790138, Regularisation weight: 10.0, MSE loss: 0.006086105480790138, Quality loss: 2.3240816593170166
[DEBUG] Regularised loss: 0.0170168187469244, Regularisation weight: 10.0, MSE loss: 0.00170168187469244, Quality loss: 2.4962570667266846
[DEBUG] Regularised loss: 0.011096682399511337, Regularisation weight: 10.0, MSE loss: 0.0011096682865172625, Quality loss: 2.8040611743927
[DEBUG] Regularised loss: 0.011879505589604378, Regularisation weight: 10.0, MSE loss: 0.0011879506055265665, Quality loss: 1.0132098197937012
[DEBUG] Regularised loss: 0.03358379751443863, Regularisation weight: 10.0, MSE loss: 0.003358379937708378, Quality loss: 1.3777084350585938
[DEBUG] Regularised loss: 0.06463217735290527, Regularisation weight: 10.0, MSE loss: 0.0064632180146873, Quality loss: 2.0691490173339844
[DEBUG] Regularised loss: 0.03977799788117409, Regularisation weight: 10.0, MSE loss: 0.003977799788117409, Quality loss: 2.4073996543884277
[DEBUG] Regularised loss: 0.016082216054201126, Regularisation weight: 10.0, MSE loss: 0.0016082215588539839, Quality loss: 2.5433835983276367
