[DEBUG] Regularised loss: 0.005929232109338045, Regularisation weight: 0.009999999776482582, MSE loss: 0.5929232239723206, Quality loss: 3.699810266494751
[DEBUG] Regularised loss: 0.008556928485631943, Regularisation weight: 0.009999999776482582, MSE loss: 0.8556928634643555, Quality loss: 3.7629001140594482
[DEBUG] Regularised loss: 0.013211563229560852, Regularisation weight: 0.009999999776482582, MSE loss: 1.32115638256073, Quality loss: 3.569366216659546
[DEBUG] Regularised loss: 0.01427143532782793, Regularisation weight: 0.009999999776482582, MSE loss: 1.4271435737609863, Quality loss: 3.3642940521240234
[DEBUG] Regularised loss: 0.01192928571254015, Regularisation weight: 0.009999999776482582, MSE loss: 1.1929285526275635, Quality loss: 3.5696301460266113
[DEBUG] Regularised loss: 0.0059113153256475925, Regularisation weight: 0.009999999776482582, MSE loss: 0.5911315679550171, Quality loss: 1.0653959512710571
[DEBUG] Regularised loss: 0.008821927942335606, Regularisation weight: 0.009999999776482582, MSE loss: 0.882192850112915, Quality loss: 1.9197354316711426
[DEBUG] Regularised loss: 0.011839182116091251, Regularisation weight: 0.009999999776482582, MSE loss: 1.1839182376861572, Quality loss: 2.2051103115081787
[DEBUG] Regularised loss: 0.012911994941532612, Regularisation weight: 0.009999999776482582, MSE loss: 1.2911995649337769, Quality loss: 2.579507827758789
[DEBUG] Regularised loss: 0.010937659069895744, Regularisation weight: 0.009999999776482582, MSE loss: 1.0937659740447998, Quality loss: 2.771444320678711
[DEBUG] Regularised loss: 0.006113673094660044, Regularisation weight: 0.009999999776482582, MSE loss: 0.6113673448562622, Quality loss: 1.0657882690429688
[DEBUG] Regularised loss: 0.008089630864560604, Regularisation weight: 0.009999999776482582, MSE loss: 0.8089630603790283, Quality loss: 1.5589319467544556
[DEBUG] Regularised loss: 0.011927306652069092, Regularisation weight: 0.009999999776482582, MSE loss: 1.1927306652069092, Quality loss: 1.6272798776626587
[DEBUG] Regularised loss: 0.014460683800280094, Regularisation weight: 0.009999999776482582, MSE loss: 1.4460684061050415, Quality loss: 2.1013591289520264
[DEBUG] Regularised loss: 0.012463107705116272, Regularisation weight: 0.009999999776482582, MSE loss: 1.246310830116272, Quality loss: 1.8928930759429932
[DEBUG] Regularised loss: 0.007280849851667881, Regularisation weight: 0.009999999776482582, MSE loss: 0.7280849814414978, Quality loss: 0.7314944267272949
[DEBUG] Regularised loss: 0.010569901205599308, Regularisation weight: 0.009999999776482582, MSE loss: 1.056990146636963, Quality loss: 1.0958293676376343
[DEBUG] Regularised loss: 0.016144907101988792, Regularisation weight: 0.009999999776482582, MSE loss: 1.6144907474517822, Quality loss: 1.9132356643676758
[DEBUG] Regularised loss: 0.016607994213700294, Regularisation weight: 0.009999999776482582, MSE loss: 1.6607993841171265, Quality loss: 1.6839405298233032
[DEBUG] Regularised loss: 0.014731651172041893, Regularisation weight: 0.009999999776482582, MSE loss: 1.4731651544570923, Quality loss: 1.9280940294265747
[DEBUG] Regularised loss: 0.008037988096475601, Regularisation weight: 0.009999999776482582, MSE loss: 0.8037988543510437, Quality loss: 0.5550978779792786
[DEBUG] Regularised loss: 0.01062818430364132, Regularisation weight: 0.009999999776482582, MSE loss: 1.0628184080123901, Quality loss: 0.8459030985832214
[DEBUG] Regularised loss: 0.016469385474920273, Regularisation weight: 0.009999999776482582, MSE loss: 1.6469385623931885, Quality loss: 1.451629638671875
[DEBUG] Regularised loss: 0.017359329387545586, Regularisation weight: 0.009999999776482582, MSE loss: 1.7359330654144287, Quality loss: 1.5123049020767212
[DEBUG] Regularised loss: 0.015334713272750378, Regularisation weight: 0.009999999776482582, MSE loss: 1.5334713459014893, Quality loss: 1.7925394773483276
[DEBUG] Regularised loss: 0.008476628921926022, Regularisation weight: 0.009999999776482582, MSE loss: 0.8476629257202148, Quality loss: 0.5153898000717163
[DEBUG] Regularised loss: 0.011470451019704342, Regularisation weight: 0.009999999776482582, MSE loss: 1.1470451354980469, Quality loss: 0.9292097687721252
[DEBUG] Regularised loss: 0.01718098856508732, Regularisation weight: 0.009999999776482582, MSE loss: 1.7180988788604736, Quality loss: 1.3263636827468872
[DEBUG] Regularised loss: 0.018728571012616158, Regularisation weight: 0.009999999776482582, MSE loss: 1.8728572130203247, Quality loss: 1.2988885641098022
[DEBUG] Regularised loss: 0.017784642055630684, Regularisation weight: 0.009999999776482582, MSE loss: 1.7784643173217773, Quality loss: 1.5790791511535645
[DEBUG] Regularised loss: 0.009403245523571968, Regularisation weight: 0.009999999776482582, MSE loss: 0.9403245449066162, Quality loss: 0.40470090508461
[DEBUG] Regularised loss: 0.014105564914643764, Regularisation weight: 0.009999999776482582, MSE loss: 1.4105565547943115, Quality loss: 0.6634402275085449
[DEBUG] Regularised loss: 0.020575888454914093, Regularisation weight: 0.009999999776482582, MSE loss: 2.057588815689087, Quality loss: 1.0869852304458618
[DEBUG] Regularised loss: 0.021889280527830124, Regularisation weight: 0.009999999776482582, MSE loss: 2.1889281272888184, Quality loss: 1.2589775323867798
[DEBUG] Regularised loss: 0.017824871465563774, Regularisation weight: 0.009999999776482582, MSE loss: 1.7824872732162476, Quality loss: 1.3361605405807495
[DEBUG] Regularised loss: 0.00965912826359272, Regularisation weight: 0.009999999776482582, MSE loss: 0.9659128189086914, Quality loss: 0.42165201902389526
[DEBUG] Regularised loss: 0.0128727862611413, Regularisation weight: 0.009999999776482582, MSE loss: 1.287278652191162, Quality loss: 0.5705229043960571
[DEBUG] Regularised loss: 0.01775365322828293, Regularisation weight: 0.009999999776482582, MSE loss: 1.7753653526306152, Quality loss: 1.0426362752914429
