[DEBUG] Regularised loss: 20.712209701538086, Regularisation weight: 0.10000000149011612, MSE loss: 207.12210083007812, Quality loss: 3.37288236618042
[DEBUG] Regularised loss: 0.004555854480713606, Regularisation weight: 0.10000000149011612, MSE loss: 0.045558542013168335, Quality loss: 0.9628150463104248
[DEBUG] Regularised loss: 0.005419356748461723, Regularisation weight: 0.10000000149011612, MSE loss: 0.05419356748461723, Quality loss: 1.52601957321167
[DEBUG] Regularised loss: 0.006696831434965134, Regularisation weight: 0.10000000149011612, MSE loss: 0.06696831434965134, Quality loss: 1.9493169784545898
[DEBUG] Regularised loss: 0.005457690916955471, Regularisation weight: 0.10000000149011612, MSE loss: 0.05457690730690956, Quality loss: 1.8165262937545776
[DEBUG] Regularised loss: 0.005036511924117804, Regularisation weight: 0.10000000149011612, MSE loss: 0.05036512017250061, Quality loss: 2.1609907150268555
[DEBUG] Regularised loss: 0.002660587662830949, Regularisation weight: 0.10000000149011612, MSE loss: 0.0266058761626482, Quality loss: 0.8361843824386597
[DEBUG] Regularised loss: 0.0034316356759518385, Regularisation weight: 0.10000000149011612, MSE loss: 0.03431635722517967, Quality loss: 1.3821338415145874
[DEBUG] Regularised loss: 0.013223685324192047, Regularisation weight: 0.10000000149011612, MSE loss: 0.13223685324192047, Quality loss: 1.8507565259933472
[DEBUG] Regularised loss: 0.8493068814277649, Regularisation weight: 0.10000000149011612, MSE loss: 8.49306869506836, Quality loss: 1.994203805923462
[DEBUG] Regularised loss: 1187.4339599609375, Regularisation weight: 0.10000000149011612, MSE loss: 11874.33984375, Quality loss: 4.8101372718811035
[DEBUG] Regularised loss: 0.011900118552148342, Regularisation weight: 0.10000000149011612, MSE loss: 0.11900117993354797, Quality loss: 0.8412145376205444
[DEBUG] Regularised loss: 0.015776274725794792, Regularisation weight: 0.10000000149011612, MSE loss: 0.15776275098323822, Quality loss: 1.2692058086395264
[DEBUG] Regularised loss: 0.05419692024588585, Regularisation weight: 0.10000000149011612, MSE loss: 0.5419691801071167, Quality loss: 1.9812759160995483
[DEBUG] Regularised loss: 0.058634061366319656, Regularisation weight: 0.10000000149011612, MSE loss: 0.586340606212616, Quality loss: 1.8124048709869385
[DEBUG] Regularised loss: 1.7005971670150757, Regularisation weight: 0.10000000149011612, MSE loss: 17.005971908569336, Quality loss: 2.8068084716796875
[DEBUG] Regularised loss: 0.008671377785503864, Regularisation weight: 0.10000000149011612, MSE loss: 0.0867137759923935, Quality loss: 0.7376843094825745
[DEBUG] Regularised loss: 0.013248401693999767, Regularisation weight: 0.10000000149011612, MSE loss: 0.13248401880264282, Quality loss: 1.0728975534439087
[DEBUG] Regularised loss: 0.024285616353154182, Regularisation weight: 0.10000000149011612, MSE loss: 0.24285615980625153, Quality loss: 1.6448478698730469
[DEBUG] Regularised loss: 0.03163333609700203, Regularisation weight: 0.10000000149011612, MSE loss: 0.3163333535194397, Quality loss: 1.9740179777145386
[DEBUG] Regularised loss: 0.024310402572155, Regularisation weight: 0.10000000149011612, MSE loss: 0.24310402572155, Quality loss: 2.558873414993286
[DEBUG] Regularised loss: 0.007388472557067871, Regularisation weight: 0.10000000149011612, MSE loss: 0.07388472557067871, Quality loss: 0.730473518371582
[DEBUG] Regularised loss: 0.010095719248056412, Regularisation weight: 0.10000000149011612, MSE loss: 0.10095719248056412, Quality loss: 1.110872507095337
[DEBUG] Regularised loss: 0.012800189666450024, Regularisation weight: 0.10000000149011612, MSE loss: 0.12800189852714539, Quality loss: 1.8959914445877075
[DEBUG] Regularised loss: 0.012758448719978333, Regularisation weight: 0.10000000149011612, MSE loss: 0.12758448719978333, Quality loss: 1.8188972473144531
[DEBUG] Regularised loss: 0.021073980256915092, Regularisation weight: 0.10000000149011612, MSE loss: 0.21073980629444122, Quality loss: 2.148491859436035
[DEBUG] Regularised loss: 0.007215719670057297, Regularisation weight: 0.10000000149011612, MSE loss: 0.07215719670057297, Quality loss: 0.666649341583252
[DEBUG] Regularised loss: 0.01407999824732542, Regularisation weight: 0.10000000149011612, MSE loss: 0.14079998433589935, Quality loss: 1.1728415489196777
[DEBUG] Regularised loss: 0.021609684452414513, Regularisation weight: 0.10000000149011612, MSE loss: 0.21609684824943542, Quality loss: 1.5392407178878784
[DEBUG] Regularised loss: 0.02909807674586773, Regularisation weight: 0.10000000149011612, MSE loss: 0.2909807562828064, Quality loss: 1.7830678224563599
[DEBUG] Regularised loss: 0.03409455716609955, Regularisation weight: 0.10000000149011612, MSE loss: 0.3409455716609955, Quality loss: 2.0271663665771484
[DEBUG] Regularised loss: 0.005379919428378344, Regularisation weight: 0.10000000149011612, MSE loss: 0.05379919335246086, Quality loss: 0.5518323183059692
[DEBUG] Regularised loss: 0.010500378906726837, Regularisation weight: 0.10000000149011612, MSE loss: 0.10500378906726837, Quality loss: 1.2153351306915283
[DEBUG] Regularised loss: 0.010466113686561584, Regularisation weight: 0.10000000149011612, MSE loss: 0.10466113686561584, Quality loss: 1.7126109600067139
[DEBUG] Regularised loss: 0.08442520350217819, Regularisation weight: 0.10000000149011612, MSE loss: 0.8442519903182983, Quality loss: 1.7153376340866089
[DEBUG] Regularised loss: 464.58477783203125, Regularisation weight: 0.10000000149011612, MSE loss: 4645.84765625, Quality loss: 2.0033891201019287
[DEBUG] Regularised loss: 0.007032113615423441, Regularisation weight: 0.10000000149011612, MSE loss: 0.07032113522291183, Quality loss: 0.637462317943573
[DEBUG] Regularised loss: 0.009524649009108543, Regularisation weight: 0.10000000149011612, MSE loss: 0.09524648636579514, Quality loss: 1.1157660484313965
[DEBUG] Regularised loss: 0.009392772801220417, Regularisation weight: 0.10000000149011612, MSE loss: 0.09392772614955902, Quality loss: 1.6671980619430542
[DEBUG] Regularised loss: 0.008481403812766075, Regularisation weight: 0.10000000149011612, MSE loss: 0.08481403440237045, Quality loss: 1.709099531173706
[DEBUG] Regularised loss: 0.0061048115603625774, Regularisation weight: 0.10000000149011612, MSE loss: 0.06104811280965805, Quality loss: 1.825622797012329
[DEBUG] Regularised loss: 0.0034938682802021503, Regularisation weight: 0.10000000149011612, MSE loss: 0.03493868187069893, Quality loss: 0.7150634527206421
[DEBUG] Regularised loss: 0.00528198666870594, Regularisation weight: 0.10000000149011612, MSE loss: 0.0528198666870594, Quality loss: 1.2231887578964233
[DEBUG] Regularised loss: 0.007715289480984211, Regularisation weight: 0.10000000149011612, MSE loss: 0.07715289294719696, Quality loss: 1.8668711185455322
[DEBUG] Regularised loss: 0.008607509545981884, Regularisation weight: 0.10000000149011612, MSE loss: 0.08607509732246399, Quality loss: 1.8459879159927368
[DEBUG] Regularised loss: 0.015671616420149803, Regularisation weight: 0.10000000149011612, MSE loss: 0.15671616792678833, Quality loss: 2.0290002822875977
[DEBUG] Regularised loss: 0.0073994859121739864, Regularisation weight: 0.10000000149011612, MSE loss: 0.07399486005306244, Quality loss: 0.6219182014465332
[DEBUG] Regularised loss: 0.012938253581523895, Regularisation weight: 0.10000000149011612, MSE loss: 0.12938253581523895, Quality loss: 1.1288845539093018
[DEBUG] Regularised loss: 0.014687620103359222, Regularisation weight: 0.10000000149011612, MSE loss: 0.14687620103359222, Quality loss: 1.5977938175201416
[DEBUG] Regularised loss: 0.02193373255431652, Regularisation weight: 0.10000000149011612, MSE loss: 0.2193373143672943, Quality loss: 1.7992234230041504
[DEBUG] Regularised loss: 0.026654843240976334, Regularisation weight: 0.10000000149011612, MSE loss: 0.26654842495918274, Quality loss: 2.025421142578125
[DEBUG] Regularised loss: 0.009350876323878765, Regularisation weight: 0.10000000149011612, MSE loss: 0.0935087651014328, Quality loss: 0.6167904734611511
[DEBUG] Regularised loss: 0.013502446003258228, Regularisation weight: 0.10000000149011612, MSE loss: 0.13502445816993713, Quality loss: 1.0117639303207397
[DEBUG] Regularised loss: 0.012360035441815853, Regularisation weight: 0.10000000149011612, MSE loss: 0.12360035628080368, Quality loss: 1.4267221689224243
[DEBUG] Regularised loss: 0.013755664229393005, Regularisation weight: 0.10000000149011612, MSE loss: 0.13755664229393005, Quality loss: 1.5553944110870361
[DEBUG] Regularised loss: 0.017144707962870598, Regularisation weight: 0.10000000149011612, MSE loss: 0.17144706845283508, Quality loss: 1.9132481813430786
[DEBUG] Regularised loss: 0.0068534123711287975, Regularisation weight: 0.10000000149011612, MSE loss: 0.06853412091732025, Quality loss: 0.5919026136398315
[DEBUG] Regularised loss: 0.01274145394563675, Regularisation weight: 0.10000000149011612, MSE loss: 0.1274145394563675, Quality loss: 1.0750936269760132
[DEBUG] Regularised loss: 0.01067407801747322, Regularisation weight: 0.10000000149011612, MSE loss: 0.10674078017473221, Quality loss: 1.2733609676361084
[DEBUG] Regularised loss: 0.009885606355965137, Regularisation weight: 0.10000000149011612, MSE loss: 0.09885606169700623, Quality loss: 1.490157961845398
[DEBUG] Regularised loss: 0.012462220154702663, Regularisation weight: 0.10000000149011612, MSE loss: 0.12462220340967178, Quality loss: 1.9644830226898193
[DEBUG] Regularised loss: 0.007495428901165724, Regularisation weight: 0.10000000149011612, MSE loss: 0.07495428621768951, Quality loss: 0.5344911813735962
[DEBUG] Regularised loss: 0.013346143066883087, Regularisation weight: 0.10000000149011612, MSE loss: 0.13346143066883087, Quality loss: 0.9292236566543579
[DEBUG] Regularised loss: 0.014742267318069935, Regularisation weight: 0.10000000149011612, MSE loss: 0.1474226713180542, Quality loss: 1.2391892671585083
[DEBUG] Regularised loss: 0.021399756893515587, Regularisation weight: 0.10000000149011612, MSE loss: 0.21399755775928497, Quality loss: 1.6574273109436035
[DEBUG] Regularised loss: 0.022037668153643608, Regularisation weight: 0.10000000149011612, MSE loss: 0.22037667036056519, Quality loss: 1.650620460510254
[DEBUG] Regularised loss: 0.009474669583141804, Regularisation weight: 0.10000000149011612, MSE loss: 0.09474669396877289, Quality loss: 0.5911976099014282
[DEBUG] Regularised loss: 0.014271223917603493, Regularisation weight: 0.10000000149011612, MSE loss: 0.14271223545074463, Quality loss: 0.9398512840270996
[DEBUG] Regularised loss: 0.013086204417049885, Regularisation weight: 0.10000000149011612, MSE loss: 0.1308620423078537, Quality loss: 1.1683273315429688
[DEBUG] Regularised loss: 0.01416423823684454, Regularisation weight: 0.10000000149011612, MSE loss: 0.14164237678050995, Quality loss: 1.5927616357803345
[DEBUG] Regularised loss: 0.029946601018309593, Regularisation weight: 0.10000000149011612, MSE loss: 0.29946601390838623, Quality loss: 1.6505405902862549
[DEBUG] Regularised loss: 0.00796124804764986, Regularisation weight: 0.10000000149011612, MSE loss: 0.07961247861385345, Quality loss: 0.5744266510009766
[DEBUG] Regularised loss: 0.013443849049508572, Regularisation weight: 0.10000000149011612, MSE loss: 0.13443848490715027, Quality loss: 1.0705897808074951
[DEBUG] Regularised loss: 0.014322466216981411, Regularisation weight: 0.10000000149011612, MSE loss: 0.14322465658187866, Quality loss: 1.413743019104004
[DEBUG] Regularised loss: 0.01646028831601143, Regularisation weight: 0.10000000149011612, MSE loss: 0.1646028757095337, Quality loss: 1.3606518507003784
[DEBUG] Regularised loss: 0.02178656868636608, Regularisation weight: 0.10000000149011612, MSE loss: 0.21786567568778992, Quality loss: 1.5956474542617798
[DEBUG] Regularised loss: 0.013566538691520691, Regularisation weight: 0.10000000149011612, MSE loss: 0.1356653869152069, Quality loss: 0.5520482063293457
[DEBUG] Regularised loss: 0.02061515487730503, Regularisation weight: 0.10000000149011612, MSE loss: 0.20615154504776, Quality loss: 0.9406952261924744
[DEBUG] Regularised loss: 0.018173810094594955, Regularisation weight: 0.10000000149011612, MSE loss: 0.18173809349536896, Quality loss: 1.4084479808807373
[DEBUG] Regularised loss: 0.015977762639522552, Regularisation weight: 0.10000000149011612, MSE loss: 0.15977762639522552, Quality loss: 1.553058385848999
[DEBUG] Regularised loss: 0.019557982683181763, Regularisation weight: 0.10000000149011612, MSE loss: 0.19557982683181763, Quality loss: 1.9149376153945923
[DEBUG] Regularised loss: 0.011093880981206894, Regularisation weight: 0.10000000149011612, MSE loss: 0.11093880981206894, Quality loss: 0.675812840461731
[DEBUG] Regularised loss: 0.013834548182785511, Regularisation weight: 0.10000000149011612, MSE loss: 0.13834547996520996, Quality loss: 1.06309974193573
[DEBUG] Regularised loss: 0.01241118460893631, Regularisation weight: 0.10000000149011612, MSE loss: 0.1241118460893631, Quality loss: 1.3902528285980225
[DEBUG] Regularised loss: 0.012981613166630268, Regularisation weight: 0.10000000149011612, MSE loss: 0.12981612980365753, Quality loss: 1.4361799955368042
[DEBUG] Regularised loss: 0.012045692652463913, Regularisation weight: 0.10000000149011612, MSE loss: 0.12045692652463913, Quality loss: 1.4871577024459839
[DEBUG] Regularised loss: 0.009727775119245052, Regularisation weight: 0.10000000149011612, MSE loss: 0.09727775305509567, Quality loss: 0.5232343077659607
[DEBUG] Regularised loss: 0.016450094059109688, Regularisation weight: 0.10000000149011612, MSE loss: 0.16450093686580658, Quality loss: 0.7935299873352051
[DEBUG] Regularised loss: 0.014621058478951454, Regularisation weight: 0.10000000149011612, MSE loss: 0.14621058106422424, Quality loss: 1.5182864665985107
