[DEBUG] Regularised loss: 5.929232120513916, Regularisation weight: 10.0, MSE loss: 0.5929232239723206, Quality loss: 3.699810266494751
[DEBUG] Regularised loss: 3.8434245586395264, Regularisation weight: 10.0, MSE loss: 0.3843424618244171, Quality loss: 3.706252336502075
[DEBUG] Regularised loss: 2.8925833702087402, Regularisation weight: 10.0, MSE loss: 0.28925833106040955, Quality loss: 3.9030253887176514
[DEBUG] Regularised loss: 1.5836820602416992, Regularisation weight: 10.0, MSE loss: 0.15836820006370544, Quality loss: 3.693615436553955
[DEBUG] Regularised loss: 0.7829196453094482, Regularisation weight: 10.0, MSE loss: 0.07829196751117706, Quality loss: 3.868238925933838
[DEBUG] Regularised loss: 0.4231783449649811, Regularisation weight: 10.0, MSE loss: 0.04231783375144005, Quality loss: 1.3121999502182007
[DEBUG] Regularised loss: 0.37898388504981995, Regularisation weight: 10.0, MSE loss: 0.037898387759923935, Quality loss: 1.9354214668273926
[DEBUG] Regularised loss: 0.3170791268348694, Regularisation weight: 10.0, MSE loss: 0.03170791268348694, Quality loss: 2.406796932220459
[DEBUG] Regularised loss: 0.19635118544101715, Regularisation weight: 10.0, MSE loss: 0.019635118544101715, Quality loss: 2.757415771484375
[DEBUG] Regularised loss: 0.11617910116910934, Regularisation weight: 10.0, MSE loss: 0.011617910116910934, Quality loss: 2.9864842891693115
[DEBUG] Regularised loss: 0.08525282144546509, Regularisation weight: 10.0, MSE loss: 0.008525282144546509, Quality loss: 1.331652045249939
[DEBUG] Regularised loss: 0.07562363892793655, Regularisation weight: 10.0, MSE loss: 0.007562363985925913, Quality loss: 1.9302632808685303
[DEBUG] Regularised loss: 0.079031802713871, Regularisation weight: 10.0, MSE loss: 0.007903180085122585, Quality loss: 1.9595978260040283
[DEBUG] Regularised loss: 0.07554669678211212, Regularisation weight: 10.0, MSE loss: 0.00755466939881444, Quality loss: 2.5051803588867188
[DEBUG] Regularised loss: 0.05404229462146759, Regularisation weight: 10.0, MSE loss: 0.005404229275882244, Quality loss: 2.2948102951049805
[DEBUG] Regularised loss: 0.03953126072883606, Regularisation weight: 10.0, MSE loss: 0.003953126259148121, Quality loss: 1.0613434314727783
[DEBUG] Regularised loss: 0.05150662735104561, Regularisation weight: 10.0, MSE loss: 0.005150662735104561, Quality loss: 1.5843336582183838
[DEBUG] Regularised loss: 0.07438444346189499, Regularisation weight: 10.0, MSE loss: 0.007438444532454014, Quality loss: 2.3101980686187744
[DEBUG] Regularised loss: 0.06995571404695511, Regularisation weight: 10.0, MSE loss: 0.006995571311563253, Quality loss: 2.108940601348877
[DEBUG] Regularised loss: 0.06654804944992065, Regularisation weight: 10.0, MSE loss: 0.006654805038124323, Quality loss: 2.3580150604248047
[DEBUG] Regularised loss: 0.05639096349477768, Regularisation weight: 10.0, MSE loss: 0.0056390962563455105, Quality loss: 0.8841153383255005
[DEBUG] Regularised loss: 0.059701815247535706, Regularisation weight: 10.0, MSE loss: 0.005970181431621313, Quality loss: 1.1760772466659546
[DEBUG] Regularised loss: 0.07453112304210663, Regularisation weight: 10.0, MSE loss: 0.007453111931681633, Quality loss: 1.8669923543930054
[DEBUG] Regularised loss: 0.06696087121963501, Regularisation weight: 10.0, MSE loss: 0.006696086842566729, Quality loss: 1.9284367561340332
[DEBUG] Regularised loss: 0.05496123805642128, Regularisation weight: 10.0, MSE loss: 0.005496123805642128, Quality loss: 2.228549003601074
[DEBUG] Regularised loss: 0.05880141258239746, Regularisation weight: 10.0, MSE loss: 0.005880141165107489, Quality loss: 0.7684941291809082
[DEBUG] Regularised loss: 0.06566080451011658, Regularisation weight: 10.0, MSE loss: 0.00656608073040843, Quality loss: 1.2168235778808594
