[DEBUG] Regularised loss: 0.5929232239723206, Regularisation weight: 1.0, MSE loss: 0.5929232239723206, Quality loss: 3.699810266494751
[DEBUG] Regularised loss: 0.5813071131706238, Regularisation weight: 1.0, MSE loss: 0.5813071131706238, Quality loss: 3.665236473083496
[DEBUG] Regularised loss: 0.5741381049156189, Regularisation weight: 1.0, MSE loss: 0.5741381049156189, Quality loss: 3.632720947265625
[DEBUG] Regularised loss: 0.37954220175743103, Regularisation weight: 1.0, MSE loss: 0.37954220175743103, Quality loss: 3.367729663848877
[DEBUG] Regularised loss: 0.20845119655132294, Regularisation weight: 1.0, MSE loss: 0.20845119655132294, Quality loss: 3.6183040142059326
[DEBUG] Regularised loss: 0.13568761944770813, Regularisation weight: 1.0, MSE loss: 0.13568761944770813, Quality loss: 1.1425321102142334
[DEBUG] Regularised loss: 0.14375342428684235, Regularisation weight: 1.0, MSE loss: 0.14375342428684235, Quality loss: 1.791680097579956
[DEBUG] Regularised loss: 0.13876807689666748, Regularisation weight: 1.0, MSE loss: 0.13876807689666748, Quality loss: 2.195830821990967
[DEBUG] Regularised loss: 0.12184445559978485, Regularisation weight: 1.0, MSE loss: 0.12184445559978485, Quality loss: 2.5534327030181885
[DEBUG] Regularised loss: 0.09674225002527237, Regularisation weight: 1.0, MSE loss: 0.09674225002527237, Quality loss: 2.7465126514434814
[DEBUG] Regularised loss: 0.08534941077232361, Regularisation weight: 1.0, MSE loss: 0.08534941077232361, Quality loss: 1.1149842739105225
[DEBUG] Regularised loss: 0.08869262784719467, Regularisation weight: 1.0, MSE loss: 0.08869262784719467, Quality loss: 1.6032135486602783
[DEBUG] Regularised loss: 0.09986737370491028, Regularisation weight: 1.0, MSE loss: 0.09986737370491028, Quality loss: 1.6686415672302246
[DEBUG] Regularised loss: 0.10468889027833939, Regularisation weight: 1.0, MSE loss: 0.10468889027833939, Quality loss: 2.1141583919525146
[DEBUG] Regularised loss: 0.0891430452466011, Regularisation weight: 1.0, MSE loss: 0.0891430452466011, Quality loss: 1.8885712623596191
[DEBUG] Regularised loss: 0.06854552030563354, Regularisation weight: 1.0, MSE loss: 0.06854552030563354, Quality loss: 0.8273956775665283
[DEBUG] Regularised loss: 0.08492735028266907, Regularisation weight: 1.0, MSE loss: 0.08492735028266907, Quality loss: 1.1535496711730957
[DEBUG] Regularised loss: 0.10265421867370605, Regularisation weight: 1.0, MSE loss: 0.10265421867370605, Quality loss: 1.873465895652771
[DEBUG] Regularised loss: 0.0964355394244194, Regularisation weight: 1.0, MSE loss: 0.0964355394244194, Quality loss: 1.6577059030532837
[DEBUG] Regularised loss: 0.08253331482410431, Regularisation weight: 1.0, MSE loss: 0.08253331482410431, Quality loss: 1.8972156047821045
[DEBUG] Regularised loss: 0.0569913424551487, Regularisation weight: 1.0, MSE loss: 0.0569913424551487, Quality loss: 0.594155490398407
[DEBUG] Regularised loss: 0.0661081001162529, Regularisation weight: 1.0, MSE loss: 0.0661081001162529, Quality loss: 0.8355540037155151
[DEBUG] Regularised loss: 0.08138240873813629, Regularisation weight: 1.0, MSE loss: 0.08138240873813629, Quality loss: 1.3649382591247559
