[DEBUG] Regularised loss: 0.0005929232574999332, Regularisation weight: 0.0010000000474974513, MSE loss: 0.5929232239723206, Quality loss: 3.699810266494751
[DEBUG] Regularised loss: 0.0008642081520520151, Regularisation weight: 0.0010000000474974513, MSE loss: 0.8642081022262573, Quality loss: 3.764159679412842
[DEBUG] Regularised loss: 0.0013582309475168586, Regularisation weight: 0.0010000000474974513, MSE loss: 1.3582308292388916, Quality loss: 3.5689589977264404
[DEBUG] Regularised loss: 0.0015071744564920664, Regularisation weight: 0.0010000000474974513, MSE loss: 1.5071743726730347, Quality loss: 3.3647186756134033
[DEBUG] Regularised loss: 0.00129721499979496, Regularisation weight: 0.0010000000474974513, MSE loss: 1.2972149848937988, Quality loss: 3.5696988105773926
[DEBUG] Regularised loss: 0.0006272699101828039, Regularisation weight: 0.0010000000474974513, MSE loss: 0.6272698640823364, Quality loss: 1.063098430633545
[DEBUG] Regularised loss: 0.0009795606601983309, Regularisation weight: 0.0010000000474974513, MSE loss: 0.9795606136322021, Quality loss: 1.926543951034546
[DEBUG] Regularised loss: 0.0013925939565524459, Regularisation weight: 0.0010000000474974513, MSE loss: 1.3925938606262207, Quality loss: 2.2076921463012695
[DEBUG] Regularised loss: 0.0015536656137555838, Regularisation weight: 0.0010000000474974513, MSE loss: 1.5536655187606812, Quality loss: 2.577099323272705
[DEBUG] Regularised loss: 0.0013468129327520728, Regularisation weight: 0.0010000000474974513, MSE loss: 1.3468128442764282, Quality loss: 2.7738430500030518
[DEBUG] Regularised loss: 0.0007085952092893422, Regularisation weight: 0.0010000000474974513, MSE loss: 0.7085951566696167, Quality loss: 1.0625841617584229
[DEBUG] Regularised loss: 0.0009880725992843509, Regularisation weight: 0.0010000000474974513, MSE loss: 0.9880725145339966, Quality loss: 1.5579829216003418
[DEBUG] Regularised loss: 0.0015395847149193287, Regularisation weight: 0.0010000000474974513, MSE loss: 1.5395846366882324, Quality loss: 1.632211685180664
[DEBUG] Regularised loss: 0.0019236078951507807, Regularisation weight: 0.0010000000474974513, MSE loss: 1.9236078262329102, Quality loss: 2.0997958183288574
