[DEBUG] Regularised loss: 0.011069219559431076, Regularisation weight: 0.0010000000474974513, MSE loss: 11.069218635559082, Quality loss: 3.535205841064453
[DEBUG] Regularised loss: 12.060615539550781, Regularisation weight: 0.0010000000474974513, MSE loss: 12060.615234375, Quality loss: 198.50035095214844
[DEBUG] Regularised loss: 114153472.0, Regularisation weight: 0.0010000000474974513, MSE loss: 114153463808.0, Quality loss: 2320189.75
[DEBUG] Regularised loss: 5753999872.0, Regularisation weight: 0.0010000000474974513, MSE loss: 5753999458304.0, Quality loss: 10884723.0
[DEBUG] Regularised loss: 361628000.0, Regularisation weight: 0.0010000000474974513, MSE loss: 361627975680.0, Quality loss: 7599049.0
[DEBUG] Regularised loss: 0.004117579665035009, Regularisation weight: 0.0010000000474974513, MSE loss: 4.117579460144043, Quality loss: 3.429483652114868
[DEBUG] Regularised loss: 0.836753785610199, Regularisation weight: 0.0010000000474974513, MSE loss: 836.7537231445312, Quality loss: 121.51669311523438
[DEBUG] Regularised loss: 277553.8125, Regularisation weight: 0.0010000000474974513, MSE loss: 277553792.0, Quality loss: 8469.6142578125
[DEBUG] Regularised loss: 33138438.0, Regularisation weight: 0.0010000000474974513, MSE loss: 33138436096.0, Quality loss: 118888.7890625
[DEBUG] Regularised loss: 4817514.0, Regularisation weight: 0.0010000000474974513, MSE loss: 4817513984.0, Quality loss: 14848221.0
[DEBUG] Regularised loss: 0.002112174639478326, Regularisation weight: 0.0010000000474974513, MSE loss: 2.1121745109558105, Quality loss: 4.7023091316223145
[DEBUG] Regularised loss: 0.182488813996315, Regularisation weight: 0.0010000000474974513, MSE loss: 182.48880004882812, Quality loss: 11.970915794372559
[DEBUG] Regularised loss: 50768.58984375, Regularisation weight: 0.0010000000474974513, MSE loss: 50768588.0, Quality loss: 1358.1357421875
[DEBUG] Regularised loss: 1735478.25, Regularisation weight: 0.0010000000474974513, MSE loss: 1735478144.0, Quality loss: 18643.20703125
[DEBUG] Regularised loss: 590591.6875, Regularisation weight: 0.0010000000474974513, MSE loss: 590591680.0, Quality loss: 12991.9052734375
[DEBUG] Regularised loss: 0.0011346498504281044, Regularisation weight: 0.0010000000474974513, MSE loss: 1.1346497535705566, Quality loss: 1.4911036491394043
[DEBUG] Regularised loss: 0.027784867212176323, Regularisation weight: 0.0010000000474974513, MSE loss: 27.784866333007812, Quality loss: 5.682806968688965
[DEBUG] Regularised loss: 1379.6669921875, Regularisation weight: 0.0010000000474974513, MSE loss: 1379666.875, Quality loss: 1323.8411865234375
[DEBUG] Regularised loss: 35874.640625, Regularisation weight: 0.0010000000474974513, MSE loss: 35874640.0, Quality loss: 982.9501953125
