[DEBUG] Regularised loss: 11.069218635559082, Regularisation weight: 1.0, MSE loss: 11.069218635559082, Quality loss: 3.535205841064453
[DEBUG] Regularised loss: 1314.8148193359375, Regularisation weight: 1.0, MSE loss: 1314.8148193359375, Quality loss: 201.3584747314453
[DEBUG] Regularised loss: 166676080.0, Regularisation weight: 1.0, MSE loss: 166676080.0, Quality loss: 559.889404296875
[DEBUG] Regularised loss: 34929172480.0, Regularisation weight: 1.0, MSE loss: 34929172480.0, Quality loss: 4276.54736328125
[DEBUG] Regularised loss: 11423419392.0, Regularisation weight: 1.0, MSE loss: 11423419392.0, Quality loss: 712045.1875
[DEBUG] Regularised loss: 1.0414631366729736, Regularisation weight: 1.0, MSE loss: 1.0414631366729736, Quality loss: 2.4332141876220703
[DEBUG] Regularised loss: 57.97688293457031, Regularisation weight: 1.0, MSE loss: 57.97688293457031, Quality loss: 13.32951831817627
[DEBUG] Regularised loss: 2442861.0, Regularisation weight: 1.0, MSE loss: 2442861.0, Quality loss: 272.1609802246094
[DEBUG] Regularised loss: 190744992.0, Regularisation weight: 1.0, MSE loss: 190744992.0, Quality loss: 4232.72216796875
[DEBUG] Regularised loss: 319277216.0, Regularisation weight: 1.0, MSE loss: 319277216.0, Quality loss: 486275.09375
[DEBUG] Regularised loss: 0.5732920169830322, Regularisation weight: 1.0, MSE loss: 0.5732920169830322, Quality loss: 2.623331308364868
[DEBUG] Regularised loss: 18.578750610351562, Regularisation weight: 1.0, MSE loss: 18.578750610351562, Quality loss: 5.763106346130371
[DEBUG] Regularised loss: 69798.0703125, Regularisation weight: 1.0, MSE loss: 69798.0703125, Quality loss: 33.112152099609375
[DEBUG] Regularised loss: 6367249.0, Regularisation weight: 1.0, MSE loss: 6367249.0, Quality loss: 339.5516052246094
[DEBUG] Regularised loss: 7484459.0, Regularisation weight: 1.0, MSE loss: 7484459.0, Quality loss: 1510.471923828125
[DEBUG] Regularised loss: 0.25312143564224243, Regularisation weight: 1.0, MSE loss: 0.25312143564224243, Quality loss: 1.434029459953308
[DEBUG] Regularised loss: 1.903689980506897, Regularisation weight: 1.0, MSE loss: 1.903689980506897, Quality loss: 3.080911874771118
[DEBUG] Regularised loss: 3878.84375, Regularisation weight: 1.0, MSE loss: 3878.84375, Quality loss: 20.237945556640625
[DEBUG] Regularised loss: 101303.640625, Regularisation weight: 1.0, MSE loss: 101303.640625, Quality loss: 13.083556175231934
[DEBUG] Regularised loss: 118441.4453125, Regularisation weight: 1.0, MSE loss: 118441.4453125, Quality loss: 161.98345947265625
[DEBUG] Regularised loss: 0.10609592497348785, Regularisation weight: 1.0, MSE loss: 0.10609592497348785, Quality loss: 1.3881522417068481
[DEBUG] Regularised loss: 0.2704271674156189, Regularisation weight: 1.0, MSE loss: 0.2704271674156189, Quality loss: 1.7698875665664673
[DEBUG] Regularised loss: 72.24058532714844, Regularisation weight: 1.0, MSE loss: 72.24058532714844, Quality loss: 3.455207109451294
